target,prime,rt,key,participant,prof,primetype,relationtype,primert,paikka,immersion,age,years
СИДЕТЬ,первый,0.63905200001318,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
ДУМАТЬ,другой,0.582678199978545,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
ГОВОРИТЬ,все-таки,0.634597300027963,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
ЛЕЖАТЬ,полежать,0.558413799968548,j,L213,aine,related,derivation,der,labra,no,20,4
ДЕРЖАТЬ,работа,0.803744500037283,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
ВЕРИТЬ,самый,1.07350589998532,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
СТРОИТЬ,область,0.832995400007349,j,L213,aine,a_unrelated,derivation,unrel,labra,no,20,4
ПЛАКАТЬ,плакал,1.04464630002622,j,L213,aine,related,inflection,inf,labra,no,20,4
ВЫБРАТЬ,выбрал,0.657331899972633,j,L213,aine,related,inflection,inf,labra,no,20,4
ВСТРЕЧАТЬ,встречал,1.31816230004188,j,L213,aine,related,inflection,inf,labra,no,20,4
КРИЧАТЬ,кричал,0.603108000010252,j,L213,aine,related,inflection,inf,labra,no,20,4
СООБЩИТЬ,сообщил,0.643608399957884,j,L213,aine,related,inflection,inf,labra,no,20,4
УБИТЬ,убил,0.728612700011581,j,L213,aine,related,inflection,inf,labra,no,20,4
БЕЖАТЬ,бежал,0.656520200020168,j,L213,aine,related,inflection,inf,labra,no,20,4
БРОСИТЬ,никакой,0.564839099999517,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
УМЕТЬ,умел,0.841981300036423,j,L213,aine,related,inflection,inf,labra,no,20,4
ПОНЯТЬ,хорошо,1.12712249998003,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
НАЧАТЬ,всякий,0.636238200007938,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
ПИСАТЬ,черный,0.599808699975256,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
РЕШИТЬ,далекий,0.663156400027219,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
СЛЫШАТЬ,история,0.66835190000711,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
ПОМНИТЬ,власть,1.12110590003431,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
УЗНАТЬ,тысяча,0.551560599997174,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
ОЖИДАТЬ,внимание,0.890373900008854,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
СНИМАТЬ,развитие,0.619292700022925,j,L213,aine,a_unrelated,inflection,unrel,labra,no,20,4
ЗАБЫТЬ,забыл,0.682625999965239,j,L213,aine,related,inflection,inf,labra,no,20,4
СОБРАТЬ,собрал,1.00524530000985,j,L213,aine,related,inflection,inf,labra,no,20,4
СТРАДАТЬ,пострадать,0.612378600053489,j,L215,perus,related,derivation,der,labra,no,20,7
СМОТРЕТЬ,посмотреть,0.546215899987146,j,L215,perus,related,derivation,der,labra,no,20,7
СТОЯТЬ,постоять,0.717903800075874,j,L215,perus,related,derivation,der,labra,no,20,7
ИГРАТЬ,поиграть,0.580247099976987,j,L215,perus,related,derivation,der,labra,no,20,7
СТАВИТЬ,поставить,1.09433689992875,j,L215,perus,related,derivation,der,labra,no,20,7
СЛУШАТЬ,послушать,0.638684699893929,j,L215,perus,related,derivation,der,labra,no,20,7
ПРОСИТЬ,попросить,0.766193600022234,j,L215,perus,related,derivation,der,labra,no,20,7
КУРИТЬ,покурить,0.631987300002947,j,L215,perus,related,derivation,der,labra,no,20,7
